item,itemLabel,startDate,endDate,constituency
Q5933752,مسعود پزشکیان ,2020-05-27,,Q20729886
Q5954492,احمد علیرضابیگی ,2020-05-27,,Q20729886
Q86653449,روح‌الله متفکر آزاد ,2020-05-27,,Q20729886
Q5920325,سید محمدرضا میرتاج‌الدینی ,2020-05-27,,Q20729886
Q5948321,محمدحسین فرهنگی ,2020-05-27,,Q20729886
Q16048831,علیرضا منادی سفیدان ,2020-05-27,,Q20729886
"",علی علیزاده ,2020-05-27,,Q25433253
Q86653695,معصومه پاشایی بهرام ,2020-05-27,,Q25433251
Q86653817,مهدی اسماعیلی ,2020-05-27,,Q25433260
"",سید مرتضی حسینی ,2020-05-27,,Q25433260
Q25425687,یوسف داوودی ,2020-05-27,,Q25433018
Q16051790,محمد باقری ,2020-05-27,,Q25433266
Q86653977,جعفر راستی,2020-05-27,,Q25433265
"",سید علی موسوی,2020-05-27,,Q25433269
Q86654208,احمد محرم‌زاده یخفروزان ,2020-05-27,,Q25433254
Q107506657,حسین حاتمی,2020-05-27,,Q25433280
Q16053472,غلامرضا نوری قزلجه ,2020-05-27,,Q25433268
Q25425358,سید حمزه امینی ,2020-05-27,,Q25433273
Q16044796,الله‌وردی دهقانی ,2020-05-27,,Q20731314
Q5720215,سید سلمان ذاکر ,2020-05-27,,Q24175791
Q24283713,روح‌الله حضرت‌پور طلائیه ,2020-05-27,,Q24175791
Q16046756,وحید جلال‌زاده ,2020-05-27,,Q24175791
Q16045693,انور حبیب‌زاده بوکانی ,2020-05-27,,Q25433465
Q97205699,کمال حسین‌پور,2020-05-27,,Q25433576
Q86654332,عادل نجف‌زاده,2020-05-27,,Q25433587
Q86654442,یعقوب رضازاده ,2020-05-27,,Q25433573
Q17465579,محمد علیپور رحمتی ,2020-05-27,,Q25433602
Q16048820,جلال محمودزاده ,2020-05-27,,Q25433466
Q16049114,مهدی عیسی‌زاده ,2020-05-27,,Q25433596
Q86684180,حسن همتی ,2020-05-27,,Q109548588
Q5703328,علی زنجانی حسنلویی ,2020-05-27,,Q25433597
Q4725098,علی نیکزاد ثُمرین ,2020-05-27,,Q20987735
Q16045787,سید کاظم موسوی ,2020-05-27,,Q20987735
Q23038966,صدیف بدری ,2020-05-27,,Q20987735
Q86684432,عباس جهانگیرزاده ,2020-05-27,,Q23682811
Q16047240,ولی اسماعیلی ,2020-05-27,,Q23682808
Q16053875,محمود عباس‌زاده مشکینی ,2020-05-27,,Q23682807
Q86685184,سید غنی نظری خانقاه ,2020-05-27,,Q23682809
Q86685768,امیرحسین بانکی پور فرد ,2020-05-27,,Q25433162
Q9632248,عباس مقتدایی خوراسگانی ,2020-05-27,,Q25433162
Q86686317,مهدی طغیانی ,2020-05-27,,Q25433162
Q86797324,زهرا شیخی مبارکه ,2020-05-27,,Q25433162
Q86797851,حسین میرزایی ,2020-05-27,,Q25433162
Q25425391,سید صادق طباطبایی نژاد ,2020-05-27,,Q25433200
Q16051324,حسینعلی حاجی دلیگانی ,2020-05-27,,Q25433211
Q86796515,محمدتقی نقدعلی ,2020-05-27,,Q25433212
Q24175839,اصغر سلیمی ,2020-05-27,,Q25433213
Q25425598,سمیه محمودی ,2020-05-27,,""
Q97220150,حسین محمدصالحی دارانی,2020-05-27,,Q25433215
Q5955497,سید ناصر موسوی لارگانی ,2020-05-27,,Q23682869
Q25425402,سید جواد ساداتی نژاد ,2020-05-27,,Q23682840
Q85972102,سید مسعود خاتمی ,2020-05-27,,Q23682838
Q104530166,حسین رجایی ریزی,2020-05-27,,Q23682837
Q86795440,پروین صالحی مبارکه ,2020-05-27,,Q23682836
Q86795134,الهام آزاد ,2020-05-27,,Q23682835
Q16046552,ابوالفضل ابوترابی ,2020-05-27,,Q23682834
Q86794569,رحمت‌الله فیروزی پوربادی,2020-05-27,,Q25433224
Q86798264,مهدی عسگری ,2020-05-27,,Q22001293
Q105124375,علیرضا عباسی ,2020-05-27,,Q22001293
Q86798597,علی حدادی ,2020-05-27,,Q22001292
Q97305096,علی‌اکبر بسطامی ,2020-05-27,,Q25433614
Q86800976,سارا فلاحی ,2020-05-27,,Q25433614
Q109550044,بهزاد علیزاده ,2020-05-27,,Q25433609
Q16053397,عبدالکریم جمیری ,2020-05-27,,Q24043503
Q97219149,غلامحسین کرمی ,2020-05-27,,Q24043500
Q107572600,ابراهیم رضایی ,2020-05-27,,Q24043502
Q16050184,موسی احمدی ,2020-05-27,,Q24043499
Q542074,محمدباقر قالیباف ,2020-05-27,,Q21177771
Q5956077,سید مصطفی میرسلیم ,2020-05-27,,Q21177771
Q10858287,مرتضی آقاتهرانی ,2020-05-27,,Q21177771
Q5821032,الیاس نادران ,2020-05-27,,Q21177771
Q97220253,سید محسن دهنوی ,2020-05-27,,Q21177771
Q29018332,سید محمود نبویان ,2020-05-27,,Q21177771
Q86710817,سید احسان خاندوزی ,2020-05-27,,Q21177771
Q86710375,اقبال شاکری ,2020-05-27,,Q21177771
Q86710249,ابوالفضل عمویی ,2020-05-27,,Q21177771
Q5701584,بیژن نوباوه ,2020-05-27,,Q21177771
Q86710121,مجتبی توانگر,2020-05-27,,Q21177771
Q16048999,محمداسماعیل کوثری ,2020-05-27,,Q21177771
Q86709947,روح‌الله ایزدخواه,2020-05-27,,Q21177771
Q86709770,احمد نادری ,2020-05-27,,Q21177771
Q42532452,عبدالحسین روح‌الامینی ,2020-05-27,,Q21177771
Q86709406,سید نظام‌الدین موسوی,2020-05-27,,Q21177771
Q16048408,زهره الهیان ,2020-05-27,,Q21177771
Q86690897,مالک شریعتی,2020-05-27,,Q21177771
Q97220509,مهدی شریفیان ,2020-05-27,,Q21177771
Q5924956,سید رضا تقوی ,2020-05-27,,Q21177771
Q86690463,سمیه رفیعی ,2020-05-27,,Q21177771
Q86690219,سید علی یزدی‌خواه,2020-05-27,,Q21177771
Q86689680,علی خضریان,2020-05-27,,Q21177771
Q4392343,رضا تقی‌پور ,2020-05-27,,Q21177771
Q86689406,فاطمه قاسم‌پور,2020-05-27,,Q21177771
Q86689228,مجتبی رضاخواه ,2020-05-27,,Q21177771
Q85971496,زهره سادات لاجوردی ,2020-05-27,,Q21177771
Q86688984,غلامحسین رضوانی,2020-05-27,,Q21177771
Q16051546,عزت‌الله اکبری تالارپشتی ,2020-05-27,,Q21177771
Q5956334,فرهاد بشیری ,2020-05-27,,Q25432990
Q16047184,سید احمد رسولی‌نژاد ,2020-05-27,,Q25432992
Q16050695,حسن نوروزی ,2020-05-27,,Q25432994
Q86458066,حسین حق‌وردی ,2020-05-27,,Q25432993
Q16051226,حسین نوش‌آبادی ,2020-05-27,,Q25432991
Q85966943,احمد راستینه هفشجانی ,2020-05-27,,Q25432998
Q97220367,قدرت‌الله حمزه,2020-05-27,,Q25433002
Q86458117,امیرقلی جعفری بروجنی ,2020-05-27,,Q25433000
Q86458039,حسین بامیری,2020-05-27,,Q25433001
Q86458009,حسین خسروی اسفراز ,2020-05-27,,Q25433148
Q86457983,مصطفی نخعی ,2020-05-27,,Q25433151
Q86457956,سلمان اسحاقی ,2020-05-27,,Q25433154
Q86457906,مجید نصیرایی ,2020-05-27,,Q22001224
Q5945593,نصرالله پژمان‌فر ,2020-05-27,,Q25433746
Q16045275,سید امیرحسین قاضی‌زاده هاشمی ,2020-05-27,,Q25433746
Q16052838,محمدحسین حسین‌زاده بحرینی ,2020-05-27,,Q25433746
Q16053027,جواد کریمی قدوسی ,2020-05-27,,Q25433746
Q86501951,فاطمه رحمانی,2020-05-27,,Q25433746
Q25425181,جلیل رحیمی ,2020-05-27,,Q25433757
Q86501874,محسن زنگنه ,2020-05-27,,Q25433752
Q86501624,حسین عباس‌زاده امامی ,2020-05-27,,Q25433755
Q86501343,اکبر احمدپور ,2020-05-27,,Q25433774
Q16050440,حسن رزمیان مقدم ,2020-05-27,,Q25433786
Q16049017,علی‌اصغر عنابستانی ,2020-05-27,,Q24175823
Q85968126,بهروز محبی نجم‌آبادی ,2020-05-27,,Q24175823
Q25425416,سید احسان قاضی‌زاده هاشمی ,2020-05-27,,Q25433795
Q86496488,علی آذری ,2020-05-27,,Q25433761
Q86496909,جواد نیک‌بین ,2020-05-27,,Q25433799
Q86496828,محمد صفایی دلوئی ,2020-05-27,,Q25433770
Q86496554,احسان ارکانی ,2020-05-27,,Q5943900
Q25425205,هاجر چنارانی ,2020-05-27,,Q5943900
Q86496331,سید محمد پاک‌مهر,2020-05-27,,Q28712616
Q86496291,محمد وحیدی,2020-05-27,,Q28712616
Q86495960,امان‌الله حسین‌پور,2020-05-27,,Q28712620
Q86495830,علی جدی,2020-05-27,,Q28712618
Q86495812,سید کریم حسینی ,2020-05-27,,Q25433229
Q86495721,مجتبی یوسفی ,2020-05-27,,Q25433229
Q16047595,شبیب جویجری ,2020-05-27,,Q25433229
Q97220264,سید محمد مولوی ,2020-05-27,,Q25433228
Q86495675,سید مجتبی محفوظی ,2020-05-27,,Q25433228
Q25425171,جلیل مختار ,2020-05-27,,Q25433228
Q16051327,فریدون حسنوند ,2020-05-27,,Q25433226
Q86495535,عبدالله ایزدپناه ,2020-05-27,,Q25433231
Q16049928,حبیب آقاجری ,2020-05-27,,Q25433238
Q86495485,محمدطلا مظلومی,2020-05-27,,Q25433242
Q86495405,سید لفته احمدنژاد,2020-05-27,,Q23682797
Q16047071,سید احمد آوایی ,2020-05-27,,Q23682796
Q25425165,قاسم ساعدی ,2020-05-27,,Q23682793
Q86495279,ابراهیم متینیان,2020-05-27,,Q23682792
Q16051290,مجید ناصری‌نژاد ,2020-05-27,,Q23682795
Q86495196,محمد کعب عمیر,2020-05-27,,Q23682794
Q25425368,سهراب گیلانی ,2020-05-27,,Q23682791
Q85973082,علیرضا ورناصری ,2020-05-27,,Q23682790
Q86495156,مصطفی طاهری ,2020-05-27,,Q25433683
Q107101911,مهدی باقری ,2020-05-27,,Q25433683
Q86495131,حسن شجاعی علی‌آبادی ,2020-05-27,,Q25433690
Q25425417,مرتضی خاتمی ,2020-05-27,,Q25433678
Q86494823,سید البرز حسینی,2020-05-27,,Q25433681
Q86458464,عباس گلرو ,2020-05-27,,Q22909995
Q86687482,علی‌اکبر علیزاده برمی ,2020-05-27,,Q22909992
Q86458322,علی‌اصغر خانی ,2020-05-27,,Q22909993
Q86458186,اردشیر مطهری,2020-05-27,,Q22909991
Q5951033,حسینعلی شهریاری ,2020-05-27,,Q28712634
Q5872707,فداحسین مالکی ,2020-05-27,,Q28712634
Q86458182,عبدالناصر درخشان ,2020-05-27,,Q28712631
Q86452159,معین‌الدین سعیدی ,2020-05-27,,Q28712632
Q86452401,اسماعیل حسین‌زهی,2020-05-27,,Q28712635
Q86452082,محمد سرگزی ,2020-05-27,,Q28712633
Q5953875,حبیب‌الله دهمرده ,2020-05-27,,Q28712633
Q86451669,ملک فاضلی,2020-05-27,,Q28712628
Q85973084,علیرضا پاک فطرت ,2020-05-27,,Q28712651
Q97220204,روح‌الله نجابت ,2020-05-27,,Q28712651
Q16048714,جعفر قادری ,2020-05-27,,Q28712651
Q5331967,ابراهیم عزیزی ,2020-05-27,,Q28712651
Q16045860,رحیم زارع ,2020-05-27,,Q28712655
Q86687727,فرهاد طهماسبی,2020-05-27,,Q28712654
Q97205282,مسلم صالحی ,2020-05-27,,Q28712653
Q16053021,محمدرضا رضایی کوچی ,2020-05-27,,Q16047004
Q86687269,محمدجواد عسگری ,2020-05-27,,Q26207278
Q86654625,محسن علیزاده,2020-05-27,,Q26207277
Q86502836,عبدالعلی رحیمی مظفری,2020-05-27,,Q26207275
Q86502408,حجت‌الله فیروزی,2020-05-27,,Q26207276
Q86502277,محمدمهدی فروردین,2020-05-27,,Q26207269
Q1342153,فریدون عباسی ,2020-05-27,,Q26207274
Q86451665,حسین حسین‌زاده ,2020-05-27,,Q26207272
Q16046015,سید موسی موسوی ,2020-05-27,,Q26207271
Q86451635,جلال رشیدی کوچی ,2020-05-27,,Q26207270
Q97219350,مجید انصاری ,2020-05-27,,Q26207273
Q86451607,فاطمه محمدبیگی ,2020-05-27,,Q26207284
Q86451893,لطف‌الله سیاه کلی ,2020-05-27,,Q26207284
Q16053491,روح‌الله عباس‌پور ,2020-05-27,,Q26207280
Q16045746,رجب رحمانی ,2020-05-27,,Q26207279
,محمد علی بیگی ,2020-05-27,,""
Q16047110,احمد امیرآبادی فراهانی ,2020-05-27,,""
Q23024142,مجتبی ذوالنور ,2020-05-27,,""
Q5950108,علیرضا زاکانی ,2020-05-27,,""
Q25425351,مهدی فرشادان ,2020-05-27,,Q28712688
Q97205090,محسن فتحی ,2020-05-27,,Q28712688
"",علیرضا زندیان ,2020-05-27,,Q28712689
Q97203720,بهزاد رحیمی ,2020-05-27,,Q28712690
Q97205577,پرویز اوسطی ,2020-05-27,,Q28712692
Q97204589,شیوا قاسمی‌پور ,2020-05-27,,Q28712691
Q16053175,محمدرضا پورابراهیمی داورانی ,2020-05-27,,Q28712705
Q10290285,محمدمهدی زاهدی ,2020-05-27,,Q28712705
Q97204609,صمدالله محمدی ,2020-05-27,,Q65195238
Q16050247,موسی غضنفرآبادی ,2020-05-27,,Q28712706
Q97204261,ذبیح‌الله اعظمی ساردویی ,2020-05-27,,Q28712710
Q97204051,حسین جلالی ,2020-05-27,,Q28712709
Q5347214,عفت شریعتی کوهبنانی ,2020-05-27,,Q28712711
Q16048267,شهباز حسن‌پور بیگلری ,2020-05-27,,Q28712708
Q16047315,مصطفی رضاحسینی قطب‌آبادی ,2020-05-27,,Q28712713
Q97205323,منصور شکراللهی ,2020-05-27,,Q28712712
Q4665108,عبدالرضا مصری ,2020-05-27,,Q28712715
Q97205160,محمد رشیدی ,2020-05-27,,Q28712715
Q5331967,ابراهیم عزیزی ,2020-05-27,,Q28712715
Q104530267,مجتبی بخشی پور,2020-05-27,,Q28712718
Q97203335,آرش زره‌تن لهونی ,2020-05-27,,Q28712719
Q24175810,سید جواد حسینی کیا ,2020-05-27,,Q28712720
Q97204557,شهریار حیدری,2020-05-27,,Q28712721
Q98079570,علی رضایی ,2020-05-27,,Q28712722
Q97205353,مهدی روشنفکر ,2020-05-27,,Q25433284
Q16045325,سید حاجی محمد موحد ,2020-05-27,,Q25433283
Q28713067,سید ناصر حسینی‌پور ,2020-05-27,,Q25433281
Q97204376,رمضانعلی سنگدوینی,2020-05-27,,Q25424834
Q97204860,غلامرضا منتظری,2020-05-27,,Q25424834
Q26849025,غلامعلی کوهساری ,2020-05-27,,Q28712752
Q16045837,رحمت‌الله نوروزی ,2020-05-27,,Q28712754
Q109549842,عبدالجلال ایری ,2020-05-27,,Q28712755
Q97203486,امان قلیج شادمهر ,2020-05-27,,Q25425003
Q97204344,رضا آریان‌پور ,2020-05-27,,Q25424835
Q16048365,جبار کوچکی‌نژاد ارم ساداتی ,2020-05-27,,Q5702688
Q4724563,سیدعلی آقازاده دافساری ,2020-05-27,,Q5702688
Q97304900,محمدرضا احمدی سنگری ,2020-05-27,,Q5702688
Q97204849,غلامرضا مرحبا ,2020-05-27,,Q16046985
Q86709709,محمدعلی رمضانی ,2020-05-27,,Q28712771
Q5889605,احمد دنیامالی ,2020-05-27,,Q16046995
Q97205376,مهرداد گودرزوند چگینی,2020-05-27,,Q28712773
Q97205172,محمد صفری ملکیان ,2020-05-27,,Q28712772
Q16045770,سید کاظم دلخوش اباتری ,2020-05-27,,Q28712774
Q97204038,حسن محمدیاری ,2020-05-27,,Q28712776
Q97213706,خلیل بهروزی‌فر,2020-05-27,,Q28712775
Q97218714,رسول فرخی میکال ,2020-05-27,,Q5767826
Q97205586,پرویز محمدنژاد قاضی‌محله,2020-05-27,,Q28712777
Q86801324,مرتضی محمودوند ,2020-05-27,,Q28712778
Q86801633,مهرداد ویس‌کرمی ,2020-05-27,,Q28712778
Q25425311,محمد خدابخش ,2020-05-27,,Q28712779
Q24175806,عباس گودرزی بروجردی ,2020-05-27,,Q28712780
Q86801922,فاطمه مقصودی ,2020-05-27,,Q28712780
Q25425304,سید حمیدرضا کاظمی ,2020-05-27,,Q28712782
Q86802215,یحیی ابراهیمی ,2020-05-27,,Q28712781
Q86804104,حسین گودرزی ,2020-05-27,,Q28712783
Q86803469,محمدرضا مبلغی,2020-05-27,,Q56365730
Q97220492,منصورعلی زارعی ,2020-05-27,,Q26253604
Q97220321,علی بابایی کارنامی ,2020-05-27,,Q26253604
Q16053526,علی کریمی فیروزجایی ,2020-05-27,,Q24175819
Q86458177,مهدی سعادتی ,2020-05-27,,Q24175819
Q86458158,کیوان مرادیان کوچک‌سرایی ,2020-05-27,,Q25433051
Q16074922,کمال علی‌پور خنکداری (۱۳۴۶؛,2020-05-27,,Q25433051
Q85971172,رضا حاجی‌پور ,2020-05-27,,Q26253603
Q104889199,غلامرضا شریعتی,2020-05-27,,Q26253602
Q180840,سید شمس‌الدین حسینی ,2020-05-27,,Q26253601
Q85974602,محمدعلی محسنی بندپی,2020-05-27,,Q26253598
Q86803706,ولی‌الله فرزانه,2020-05-27,,Q26253599
Q86458156,علی اصغر باقرزاده ,2020-05-27,,Q26253600
Q23893951,علی اکبر کریمی ,2020-05-27,,Q25938145
Q16074516,محمدحسن آصفری ,2020-05-27,,Q25938145
Q86804332,سینا کمال‌خانی ,2020-05-27,,Q25938144
Q97192769,علیرضا نظری ,2020-05-27,,Q25433729
Q86458142,محمد سبزی ,2020-05-27,,Q25938152
Q16053789,محمود احمدی بیغش ,2020-05-27,,Q25433830
Q52295880,علیرضا سلیمی ,2020-05-27,,Q25938153
Q16048379,منصور آرامی ,2020-05-27,,Q28712728
Q23893952,احمد مرادی ,2020-05-27,,Q28712728
Q16051705,محمد آشوری تازیانی ,2020-05-27,,Q28712728
Q16047148,احمد جباری ,2020-05-27,,Q28712726
Q86458138,حسین رئیسی,2020-05-27,,Q28712725
Q5644561,حمیدرضا حاجی‌بابایی ,2020-05-27,,Q25433509
Q86458132,احمدحسین فلاحی ,2020-05-27,,Q25433509
Q86452413,کیومرث سرمدی ,2020-05-27,,Q25433500
Q16049488,عیسی جعفری ,2020-05-27,,Q25433502
Q5940798,محمدمهدی مفتح ,2020-05-27,,Q25433504
Q25425620,حسن لطفی ,2020-05-27,,Q25433505
Q24175807,احد آزادیخواه ,2020-05-27,,Q25433522
Q86452410,هادی بیگی‌نژاد ,2020-05-27,,Q25433522
Q85973062,علیرضا شهبازی ,2020-05-27,,Q25433516
Q5956563,محمدصالح جوکار ,2020-05-27,,Q25433128
Q28713701,محمدرضا دشتی اردکانی ,2020-05-27,,Q25433123
Q25425593,محمدرضا صباغیان ,2020-05-27,,Q25433122
"",سید جلیل میرمحمدی میبدی ,2020-05-27,,Q25433127
Q16047026,روبرت بگلریان ,2020-05-27,,Q25433334
Q85966740,آرا شاوردیان ,2020-05-27,,Q25433333
Q6362752,اسفندیار اختیاری ,2020-05-27,,Q25433337
Q97191351,همایون سامه‌یح نجف‌آبادی ,2020-05-27,,Q25433343
Q97218862,شارلی انویه تکیه ,2020-05-27,,Q25433344
